           x [mm]           y [mm]           z [mm]      x [V.s/m^2]      y [V.s/m^2]      z [V.s/m^2]
------------------------------------------------------------------------------------------------------
           -244.2               69             5.13     0.0015973657    -0.0016106527    0.00078797754
           -243.2               69             5.13     0.0016495857    -0.0016593712    0.00081254647
           -242.2               69             5.13      0.001702539    -0.0017083358     0.0008374452
           -241.2               69             5.13     0.0017562258    -0.0017575461    0.00086267368
           -240.2               69             5.13     0.0018106462    -0.0018070022    0.00088823191
           -239.2               69             5.13        0.0018658    -0.0018567045       0.00091412
           -238.2               69             5.13     0.0019216874    -0.0019066525    0.00094033789
           -237.2               69             5.13     0.0019783075    -0.0019568459    0.00096688524
           -236.2               69             5.13     0.0020356621    -0.0020072856    0.00099376263
           -235.2               69             5.13     0.0020937496    -0.0020579712     0.0010209699
           -234.2               69             5.13      0.002154032    -0.0021116172     0.0010485593
           -244.2               69             6.13     0.0016191116    -0.0016248857    0.00078877766
           -243.2               69             6.13     0.0016719965     -0.001674032    0.00081325567
           -242.2               69             6.13     0.0017256152    -0.0017234244    0.00083806342
           -241.2               69             6.13      0.001779967    -0.0017730624    0.00086320087
           -240.2               69             6.13     0.0018350524     -0.001822946    0.00088866806
           -239.2               69             6.13     0.0018908709    -0.0018730757    0.00091446505
           -238.2               69             6.13     0.0019474236    -0.0019234517    0.00094059203
           -237.2               69             6.13     0.0020047091     -0.001974073    0.00096704869
           -236.2               69             6.13     0.0020633196    -0.0020260096    0.00099385041
           -235.2               69             6.13     0.0021256721    -0.0020836797     0.0010210878
           -234.2               69             6.13     0.0021871845    -0.0021410859     0.0010475806
           -244.2               69             7.13     0.0016405759    -0.0016389401    0.00078963506
           -243.2               69             7.13     0.0016941258    -0.0016885143    0.00081402197
           -242.2               69             7.13     0.0017484094     -0.001738334    0.00083873875
           -241.2               69             7.13     0.0018034262    -0.0017883996    0.00086378522
           -240.2               69             7.13     0.0018591762    -0.0018387111    0.00088916149
           -239.2               69             7.13     0.0019156602    -0.0018892686    0.00091486756
           -238.2               69             7.13     0.0019728774     -0.001940072    0.00094090332
           -237.2               69             7.13     0.0020341072    -0.0019969165    0.00096734328
           -236.2               69             7.13     0.0020963098    -0.0020545141    0.00099416182
           -235.2               69             7.13     0.0021592428    -0.0021124408     0.0010213547
           -234.2               69             7.13      0.002217531    -0.0021687141     0.0010451631
           -244.2               69             8.13     0.0016617581     -0.001652816    0.00079054956
           -243.2               69             8.13      0.001715973    -0.0017028176    0.00081484549
           -242.2               69             8.13     0.0017709214    -0.0017530653    0.00083947129
           -241.2               69             8.13      0.001826603    -0.0018035584    0.00086442666
           -240.2               69             8.13     0.0018830185    -0.0018542977    0.00088971201
           -239.2               69             8.13     0.0019425718    -0.0019094007     0.0009153568
           -238.2               69             8.13     0.0020038928    -0.0019665959    0.00094138167
           -237.2               69             8.13      0.002065945    -0.0020241209    0.00096778123
           -236.2               69             8.13     0.0021287282    -0.0020819753    0.00099455542
           -235.2               69             8.13     0.0021917699    -0.0021399804     0.0010213838
           -234.2               69             8.13     0.0022471591    -0.0021953071     0.0010428239
           -244.2               69             9.13     0.0016826581    -0.0016665127     0.0007915211
           -243.2               69             9.13     0.0017375381    -0.0017169423    0.00081572612
           -242.2               69             9.13     0.0017931515    -0.0017676174    0.00084026088
           -241.2               69             9.13     0.0018510647    -0.0018211313    0.00086512766
