           x [mm]           y [mm]           z [mm]      x [V.s/m^2]      y [V.s/m^2]      z [V.s/m^2]
------------------------------------------------------------------------------------------------------
            27.34              131            195.2    4.1968174e-06     -0.051864553    5.2493819e-05
            28.34              131            195.2    4.3952828e-06     -0.051866032    5.2663381e-05
            29.34              131            195.2    4.5609568e-06     -0.051867526    5.2871357e-05
            30.34              131            195.2    4.6938417e-06     -0.051869042    5.3117765e-05
            31.34              131            195.2    5.2754185e-06     -0.051869698    5.3611075e-05
            32.34              131            195.2    5.3331055e-06      -0.05186943    5.4788077e-05
            33.34              131            195.2    5.4595184e-06     -0.051871307     5.662848e-05
            34.34              131            195.2    5.5679538e-06     -0.051873792    5.4235352e-05
            35.34              131            195.2       5.8051e-06     -0.051876798    4.9993538e-05
            36.34              131            195.2     6.290024e-06     -0.051879276    4.8822931e-05
            37.34              131            195.2     6.765019e-06     -0.051880479    5.0981489e-05
            27.34              131            196.2    4.4277467e-06     -0.051878035    5.7947298e-05
            28.34              131            196.2    4.6962814e-06     -0.051879242    5.9690949e-05
            29.34              131            196.2     4.858367e-06     -0.051880818    5.9736354e-05
            30.34              131            196.2    4.9876598e-06     -0.051882394    5.9820159e-05
            31.34              131            196.2    5.8232117e-06     -0.051883191    6.0354989e-05
            32.34              131            196.2    6.1155201e-06     -0.051883135    6.1621606e-05
            33.34              131            196.2    6.0071707e-06     -0.051883724    6.3583102e-05
            34.34              131            196.2    6.0245625e-06     -0.051886238    5.9465609e-05
            35.34              131            196.2    6.2491577e-06     -0.051889151    5.5255154e-05
            36.34              131            196.2    6.7536585e-06      -0.05189161    5.4920278e-05
            37.34              131            196.2    7.2601188e-06     -0.051893909    5.5312586e-05
            27.34              131            197.2     4.547373e-06     -0.051892295    6.1930856e-05
            28.34              131            197.2    4.9822415e-06     -0.051893234    6.5103421e-05
            29.34              131            197.2    5.2732548e-06     -0.051894736    6.7266352e-05
            30.34              131            197.2    5.3989584e-06     -0.051896386    6.7187582e-05
            31.34              131            197.2    6.5247727e-06      -0.05189734    6.7795452e-05
            32.34              131            197.2    7.0517035e-06     -0.051897503    6.9151676e-05
            33.34              131            197.2    6.6831653e-06     -0.051897015    6.8944035e-05
            34.34              131            197.2    6.6166167e-06     -0.051899087    6.5128523e-05
            35.34              131            197.2    6.8286604e-06     -0.051901914    6.0949409e-05
            36.34              131            197.2      7.36232e-06     -0.051904447    6.1482613e-05
            37.34              131            197.2    7.8656649e-06     -0.051906969    6.1992694e-05
            27.34              131            198.2    4.5809529e-06     -0.051906906    6.6162494e-05
            28.34              131            198.2    5.1372072e-06     -0.051907733    6.9389534e-05
            29.34              131            198.2    5.5980336e-06     -0.051909149    7.2595067e-05
            30.34              131            198.2    5.9277372e-06      -0.05191103    7.5220043e-05
