 3D Run ID	I_C	Mesh Pass	Tables\0D Results\B-Field (Ms)_Y_0D_1	Tables\0D Results\B-Field (Ms)_Y_0D_2	Tables\0D Results\B-Field (Ms)_Y_0D_3	Tables\0D Results\B-Field (Ms)_Y_0D_4
1	0	1	0	0	0	0
2	378.57142857142998	2	-0.01349300891160965	-0.013522231951355934	-0.013545963913202286	-0.00056834390852600336
3	757.14285714285995	2	-0.02702011913061142	-0.02707875519990921	-0.027126293629407883	-0.001142414752393961
4	1135.7142857143001	2	-0.040559142827987671	-0.040647163987159729	-0.040718536823987961	-0.0017183994641527534
5	1514.2857142856999	2	-0.054104842245578766	-0.054222200065851212	-0.054317444562911987	-0.0022954430896788836
6	1892.8571428570999	2	-0.067654840648174286	-0.067801468074321747	-0.067920602858066559	-0.002873158548027277
7	2271.4285714286002	2	-0.08120785653591156	-0.081383697688579559	-0.081526719033718109	-0.0034513380378484726
8	2650	2	-0.094763100147247314	-0.094968169927597046	-0.095135100185871124	-0.0040298625826835632
9	3028.5714285713998	2	-0.10832008719444275	-0.10855430364608765	-0.10874515026807785	-0.004608644638210535
10	3407.1428571429001	2	-0.12187838554382324	-0.12214171886444092	-0.12235653400421143	-0.0051876264624297619
11	3785.7142857142999	2	-0.1354377418756485	-0.13573013246059418	-0.1359688937664032	-0.0057667596265673637
12	4164.2857142857001	2	-0.14899785816669464	-0.14931920170783997	-0.14958189427852631	-0.0063234483823180199
13	4542.8571428571004	2	-0.16255848109722137	-0.16290883719921112	-0.16319549083709717	-0.00690070865675807
14	4921.4285714285998	2	-0.17611947655677795	-0.17649880051612854	-0.17680943012237549	-0.0074780145660042763
15	5300	2	-0.18968072533607483	-0.19008897244930267	-0.19042359292507172	-0.0080553395673632622
0			-0.18968072533607483	-0.19008897244930267	-0.19042359292507172	-0.0080553395673632622
