Strom in Ampere	Feld in mT	Spannung in V
aus 	-1.0	
0.0	-1.0	0.0
1.0	-9.9	2.1
2.0	-18.6	4.1
3.0	-27.5	6.1
4.0	-36.5	8.2
5.0	-45.5	10.2
6.0	-54.5	12.3
7.0	-63.5	14.4
8.0	-72.4	16.4
9.0	-81.2	18.4
10.0	-90.7	20.6
11.0	-99.4	22.6
12.0	-108.2	24.6
13.0	-117.1	26.6
14.0	-125.7	28.7
15.0	-135.0	30.8
16.0	-143.8	32.9
17.0	-152.7	35.0
18.0	-161.6	37.2
19.0	-170.6	39.3
20.0	-179.6	41.5
19.0	-171.1	39.5
18.0	-162.4	37.5
17.0	-153.7	35.5
15.9	-144.2	33.3
15.0	-136.1	31.4
14.0	-127.2	29.4
12.9	-117.6	27.1
12.0	-109.4	25.2
11.0	-100.5	23.2
9.9	-90.7	20.9
9.0	-82.8	19.0
8.0	-73.8	16.9
7.0	-64.8	14.8
5.9	-55.0	12.5
5.0	-46.4	10.5
4.0	-37.7	8.5
3.0	-28.8	6.4
2.0	-19.4	4.2
1.0	-10.2	2.1
0.3	-3.5	0.6
0	-1.0	0
aus 	-1.0	
