           x [mm]           y [mm]           z [mm]      x [V.s/m^2]      y [V.s/m^2]      z [V.s/m^2]
------------------------------------------------------------------------------------------------------
            15.84               69             89.2   -1.5417852e-06     -0.044549409   -4.1122339e-06
            16.84               69             89.2   -1.7623624e-06      -0.04454992   -4.0330938e-06
            17.84               69             89.2   -2.0122288e-06     -0.044550482   -3.9639835e-06
            18.84               69             89.2   -2.2721408e-06     -0.044551056   -3.8876424e-06
            19.84               69             89.2   -2.4588603e-06     -0.044551678   -3.9130641e-06
            20.84               69             89.2   -2.6292407e-06     -0.044552371   -3.9415572e-06
            21.84               69             89.2   -2.8737461e-06     -0.044553112   -3.9179859e-06
            22.84               69             89.2   -3.2214007e-06     -0.044553906   -3.8465291e-06
            23.84               69             89.2   -3.6029583e-06     -0.044554733   -3.6866022e-06
            24.84               69             89.2    -4.058129e-06     -0.044555627   -3.4769866e-06
            15.84               69             90.2   -1.5227337e-06     -0.044548597   -4.2107899e-06
            16.84               69             90.2   -1.7530596e-06     -0.044549137   -4.1522517e-06
            17.84               69             90.2   -1.9934309e-06     -0.044549696   -4.0864834e-06
            18.84               69             90.2   -2.2438478e-06     -0.044550262   -4.0134823e-06
            19.84               69             90.2   -2.4592623e-06     -0.044550866   -3.9912479e-06
            20.84               69             90.2    -2.626771e-06     -0.044551559   -4.0171899e-06
            21.84               69             90.2   -2.7916583e-06     -0.044552311    -4.026273e-06
            22.84               69             90.2   -3.1039685e-06      -0.04455306   -3.9153338e-06
            23.84               69             90.2   -3.4987984e-06      -0.04455385   -3.7241757e-06
            24.84               69             90.2   -3.9677302e-06     -0.044554736   -3.5303769e-06
            15.84               69             91.2   -1.5320722e-06     -0.044547819   -4.3081636e-06
            16.84               69             91.2   -1.7529031e-06     -0.044548359   -4.2529668e-06
            17.84               69             91.2   -1.9837792e-06     -0.044548914   -4.1905396e-06
            18.84               69             91.2   -2.2247011e-06     -0.044549476   -4.1208796e-06
            19.84               69             91.2   -2.4656472e-06     -0.044550065   -4.0566488e-06
            20.84               69             91.2   -2.6302841e-06     -0.044550758   -4.0800396e-06
            21.84               69             91.2   -2.7729848e-06     -0.044551466   -4.0589139e-06
            22.84               69             91.2   -3.0039209e-06      -0.04455217   -3.9386482e-06
            23.84               69             91.2    -3.412513e-06      -0.04455296   -3.7633076e-06
            24.84               69             91.2   -3.8952048e-06     -0.044553831   -3.5853238e-06
            15.84               69             92.2   -1.4824352e-06     -0.044547178   -4.3719897e-06
            16.84               69             92.2   -1.7191103e-06     -0.044547684     -4.32152e-06
            17.84               69             92.2   -1.9615163e-06     -0.044548202   -4.2664396e-06
            18.84               69             92.2   -2.2096524e-06      -0.04454872   -4.2067468e-06
            19.84               69             92.2    -2.456173e-06     -0.044549294   -4.1362855e-06
            20.84               69             92.2   -2.6227742e-06     -0.044549927   -4.0969026e-06
            21.84               69             92.2   -2.7409164e-06     -0.044550579   -4.0401187e-06
            22.84               69             92.2   -2.9217476e-06     -0.044551279   -3.9635206e-06
            23.84               69             92.2   -3.3437877e-06     -0.044552054   -3.8041621e-06
            24.84               69             92.2    -3.612764e-06     -0.044553116   -3.7372724e-06
            15.84               69             93.2   -1.4334322e-06     -0.044546604   -4.4279964e-06
            16.84               69             93.2   -1.6564865e-06     -0.044547085    -4.376544e-06
            17.84               69             93.2   -1.8991554e-06     -0.044547599   -4.3168284e-06
            18.84               69             93.2   -2.1475553e-06     -0.044548117    -4.252503e-06
            19.84               69             93.2   -2.3525154e-06     -0.044548657   -4.1788517e-06
            20.84               69             93.2   -2.5135664e-06     -0.044549208   -4.1064577e-06
            21.84               69             93.2   -2.6812056e-06     -0.044549778   -4.0437549e-06
            22.84               69             93.2   -2.8563982e-06     -0.044550367   -3.9904389e-06
            23.84               69             93.2   -3.0849728e-06     -0.044551402   -3.9312563e-06
            24.84               69             93.2   -3.3061697e-06     -0.044552464   -3.8612616e-06
            15.84               69             94.2   -1.4159651e-06     -0.044546094   -4.4738345e-06
            16.84               69             94.2   -1.5981296e-06     -0.044546489   -4.4335302e-06
            17.84               69             94.2    -1.841062e-06     -0.044547003   -4.3691825e-06
            18.84               69             94.2   -2.0282237e-06     -0.044547521   -4.2957759e-06
            19.84               69             94.2    -2.176922e-06     -0.044548057   -4.2258007e-06
            20.84               69             94.2   -2.3322077e-06     -0.044548616   -4.1655185e-06
            21.84               69             94.2     -2.49408e-06     -0.044549178   -4.1149274e-06
            22.84               69             94.2   -2.7956742e-06     -0.044549778   -3.9979323e-06
            23.84               69             94.2   -2.9723492e-06     -0.044550713   -3.9486849e-06
            24.84               69             94.2   -3.0881561e-06     -0.044551805   -3.9102924e-06
            15.84               69             95.2   -1.4005772e-06     -0.044545576   -4.5147303e-06
            16.84               69             95.2   -1.5518571e-06     -0.044545922   -4.4888793e-06
            17.84               69             95.2   -1.7122452e-06     -0.044546418   -4.4196286e-06
            18.84               69             95.2   -1.8485905e-06     -0.044546947   -4.3520731e-06
            19.84               69             95.2   -1.9915224e-06     -0.044547483   -4.2942102e-06
            20.84               69             95.2   -2.1410415e-06     -0.044548035   -4.2460388e-06
            21.84               69             95.2   -2.4148662e-06     -0.044548612    -4.132221e-06
            22.84               69             95.2   -2.7153981e-06     -0.044549197   -3.9995139e-06
            23.84               69             95.2     -2.90245e-06     -0.044550017   -3.9274528e-06
            24.84               69             95.2   -3.1291897e-06     -0.044551019   -3.8874091e-06
            15.84               69             96.2   -1.3612198e-06     -0.044544987   -4.4792787e-06
            16.84               69             96.2   -1.5097471e-06     -0.044545323   -4.4502581e-06
            17.84               69             96.2   -1.6244533e-06     -0.044545785   -4.4140875e-06
            18.84               69             96.2   -1.7153468e-06     -0.044546343   -4.3884093e-06
            19.84               69             96.2   -1.8002009e-06     -0.044546917   -4.3812315e-06
            20.84               69             96.2   -2.0352263e-06     -0.044547476   -4.2819133e-06
            21.84               69             96.2    -2.347992e-06     -0.044548031   -4.1266353e-06
            22.84               69             96.2   -2.6163164e-06      -0.04454862   -3.9947172e-06
            23.84               69             96.2   -2.9011155e-06     -0.044549279   -3.9164252e-06
            24.84               69             96.2    -3.247746e-06      -0.04455024   -3.8592293e-06
            15.84               69             97.2   -1.3134847e-06     -0.044544399   -4.4353146e-06
            16.84               69             97.2   -1.4595414e-06     -0.044544715   -4.4075714e-06
            17.84               69             97.2   -1.5911144e-06     -0.044545121   -4.3754435e-06
            18.84               69             97.2   -1.6982463e-06     -0.044545673   -4.3477612e-06
            19.84               69             97.2    -1.807329e-06     -0.044546276    -4.332559e-06
            20.84               69             97.2   -1.9817539e-06     -0.044546902   -4.2691599e-06
            21.84               69             97.2    -2.262313e-06     -0.044547468   -4.1146718e-06
            22.84               69             97.2   -2.5101315e-06      -0.04454805   -3.9974402e-06
            23.84               69             97.2   -2.7923813e-06     -0.044548653   -3.9511488e-06
            24.84               69             97.2    -3.184713e-06     -0.044549529   -3.8771791e-06
            15.84               69             98.2   -1.2641062e-06     -0.044543825   -4.4043218e-06
            16.84               69             98.2   -1.4076918e-06     -0.044544123   -4.3778546e-06
            17.84               69             98.2   -1.5470949e-06     -0.044544473   -4.3503205e-06
            18.84               69             98.2   -1.6770157e-06     -0.044545051   -4.3113573e-06
            19.84               69             98.2   -1.7950645e-06     -0.044545688    -4.280424e-06
            20.84               69             98.2   -1.9094766e-06      -0.04454634   -4.2500301e-06
            21.84               69             98.2   -2.1578285e-06     -0.044546902   -4.0963314e-06
            22.84               69             98.2    -2.429432e-06     -0.044547491   -4.0211726e-06
            23.84               69             98.2     -2.71621e-06     -0.044548094   -3.9643301e-06
            24.84               69             98.2   -3.0518536e-06     -0.044548824   -3.9010633e-06
            15.84               69             99.2   -1.2110384e-06     -0.044543389   -4.3908685e-06
            16.84               69             99.2   -1.3534855e-06     -0.044543665   -4.3586351e-06
            17.84               69             99.2   -1.5010871e-06     -0.044543982   -4.3251835e-06
            18.84               69             99.2   -1.6462974e-06     -0.044544488   -4.2726824e-06
            19.84               69             99.2   -1.7481973e-06     -0.044545099   -4.2278562e-06
            20.84               69             99.2   -1.8418351e-06     -0.044545762    -4.202218e-06
            21.84               69             99.2   -2.0710158e-06     -0.044546343   -4.1045505e-06
            22.84               69             99.2    -2.356298e-06     -0.044546925   -4.0310942e-06
            23.84               69             99.2    -2.647605e-06     -0.044547543   -3.9637021e-06
            24.84               69             99.2   -2.9449347e-06     -0.044548176   -3.9023726e-06
