           x [mm]           y [mm]           z [mm]      x [V.s/m^2]      y [V.s/m^2]      z [V.s/m^2]
------------------------------------------------------------------------------------------------------
            -74.1              131            185.4   -4.4521894e-05     -0.044732261    1.3417709e-05
            -73.1              131            185.4   -4.1184911e-05     -0.044723976      1.35325e-05
            -72.1              131            185.4   -3.7795726e-05     -0.044715717    1.3783902e-05
            -71.1              131            185.4   -3.4354329e-05      -0.04470747    1.4171912e-05
            -70.1              131            185.4   -3.0880197e-05     -0.044699311    1.4665034e-05
            -69.1              131            185.4   -2.8775552e-05     -0.044691436    1.4945693e-05
            -68.1              131            185.4   -2.7547245e-05     -0.044682767    1.5503418e-05
            -67.1              131            185.4   -2.6075188e-05     -0.044674251    1.6002923e-05
            -66.1              131            185.4   -2.4672618e-05     -0.044669174    1.6172651e-05
            -65.1              131            185.4   -2.3508101e-05     -0.044664521    1.6428889e-05
            -64.1              131            185.4   -2.1921771e-05     -0.044659641    1.6726826e-05
            -74.1              131            186.4   -4.4447879e-05     -0.044736821    1.7109462e-05
            -73.1              131            186.4   -4.0976618e-05     -0.044728395    1.7192458e-05
            -72.1              131            186.4   -3.7453145e-05     -0.044719983    1.7412061e-05
            -71.1              131            186.4   -3.4111035e-05     -0.044712167    1.7604836e-05
            -70.1              131            186.4   -3.0983996e-05     -0.044705067    1.7599819e-05
            -69.1              131            186.4   -2.7963961e-05     -0.044698063     1.753687e-05
            -68.1              131            186.4   -2.6899268e-05     -0.044689506    1.8048373e-05
            -67.1              131            186.4   -2.5590831e-05     -0.044681091    1.8501665e-05
            -66.1              131            186.4   -2.4216301e-05     -0.044674836    1.8860766e-05
            -65.1              131            186.4     -2.31093e-05     -0.044670325    1.9277244e-05
            -64.1              131            186.4    -2.187652e-05     -0.044665694    1.9729168e-05
            -74.1              131            187.4   -4.4277076e-05      -0.04474166    2.0782718e-05
            -73.1              131            187.4   -4.0671526e-05     -0.044733085    2.0833919e-05
            -72.1              131            187.4   -3.7546721e-05     -0.044725578    2.0972322e-05
            -71.1              131            187.4   -3.4443096e-05     -0.044718303    2.1021015e-05
            -70.1              131            187.4   -3.1334555e-05     -0.044711221    2.0976942e-05
            -69.1              131            187.4   -2.8221115e-05     -0.044704348    2.0840111e-05
            -68.1              131            187.4   -2.6416155e-05     -0.044696584    2.1035197e-05
            -67.1              131            187.4   -2.5271347e-05     -0.044688292     2.144228e-05
            -66.1              131            187.4   -2.3942135e-05     -0.044680867    2.1825064e-05
            -65.1              131            187.4    -2.289264e-05      -0.04467646    2.2401764e-05
            -64.1              131            187.4   -2.2036969e-05     -0.044672094    2.3097085e-05
            -74.1              131            188.4   -4.4262553e-05     -0.044747148    2.4572322e-05
            -73.1              131            188.4   -4.1187246e-05     -0.044739529    2.4767491e-05
            -72.1              131            188.4   -3.8107031e-05     -0.044732086    2.4869896e-05
            -71.1              131            188.4    -3.502192e-05     -0.044724852     2.487954e-05
            -70.1              131            188.4    -3.193189e-05     -0.044717804    2.4796416e-05
            -69.1              131            188.4   -2.8836967e-05     -0.044710945    2.4620538e-05
            -68.1              131            188.4    -2.609792e-05     -0.044704024    2.4463903e-05
            -67.1              131            188.4    -2.511672e-05     -0.044695836     2.482476e-05
