Strom in Ampere	Feld in mT	Spannung in V
aus	-1.0	
0.0	-1.0	0.0
0.4	-4.8	0.8
1.0	-10.1	2.0
2.0	-19.7	4.1
3.0	-28.4	6.0
4.0	-37.4	8.0
5.0	-47.3	10.2
6.0	-55.8	12.0
7.3	-68.4	14.8
8.0	-74.6	16.2
9.0	-83.7	18.2
10.0	-93.0	20.2
11.0	-101.9	22.2
12.0	-111.3	24.2
13.0	-120.7	26.3
14.1	-130.8	28.6
15.2	-140.6	30.8
16.0	-148.3	32.5
17.0	-157.2	34.6
18.0	-166.6	36.8
19.0	-175.9	38.9
20.1	-185.5	41.1
19.3	-179.0	39.7
18.0	-167.4	37.2
17.0	-158.6	35.2
16.1	-149.8	33.3
15.0	-140.0	31.1
14.0	-130.8	29.0
13.0	-121.6	27.0
12.0	-112.5	24.9
11.0	-103.4	22.9
9.9	-93.5	20.6
9.0	-84.9	18.7
7.9	-75.0	16.5
7.0	-66.7	14.6
6.0	-57.3	12.5
5.0	-48.3	9.6
4.0	-38.8	8.4
3.0	-29.1	6.2
2.0	-20.0	4.2
1.0	-10.6	2.1
0.5	-5.4	1.0
0.0	-1.0	0.0
aus 	-1.0	
