Strom in Ampere	Feld in mT	Spannung in V
ohne	-0.6	
0.0	-0.6	0
0.5	-4.8	0.9
1.0	-9.2	1.9
1.5	-13.7	2.9
2.0	-18.2	3.9
2.5	-22.7	5.0
3.0	-27.5	6.0
3.5	-31.7	7.0
4.0	-36.2	8.0
4.5	-40.5	8.9
5.0	-45.3	10.0
6.0	-54.0	12.0
7.0	-62.8	13.9
8.0	-72.1	16.0
9.0	-81.0	18.0
10.0	-89.9	20.0
11.0	-98.7	22.0
12.0	-107.9	24.1
13.0	-116.6	26.0
14.0	-125.6	28.2
15.1	-135.1	30.4
16.0	-143.3	32.4
17.0	-152.4	34.5
18.0	-161.1	36.6
19.0	-170.5	38.8
20.0	-179.1	40.9
19.0	-170.9	39.1
18.0	-162.4	37.2
17.0	-153.3	35.1
16.0	-144.4	33.1
15.0	-135.8	31.1
14.0	-126.8	29.1
13.0	-118.1	27.0
11.9	-108.3	24.8
11.0	-100.3	22.9
10.0	-91.0	20.8
9.0	-82.1	18.7
8.0	-73.6	16.7
7.0	-64.7	14.6
6.0	-55.8	12.6
5.0	-46.7	10.5
3.9	-37.0	8.2
3.0	-28.5	6.2
2.0	-19.5	4.2
1.0	-10.5	2.1
0.5	-6.0	1.1
0.0	-1.0	0
aus	-1.0	
