 3D Run ID	I_C	Tables\0D Results\B-Field (Ms)_Y_0D_1	Tables\0D Results\B-Field (Ms)_Y_0D_2	Tables\0D Results\B-Field (Ms)_Y_0D_3	Tables\0D Results\B-Field (Ms)_Y_0D_4
1	1	-3.5240980650996789e-05	-3.5326815122971311e-05	-3.5336899600224569e-05	-1.3975204637972638e-06
2	442.58333333333002	-0.015779649838805199	-0.015838811174035072	-0.01584179699420929	-0.00065255892695859075
3	884.16666666667004	-0.031573072075843811	-0.031694680452346802	-0.031700458377599716	-0.0013123612152412534
4	1325.75	-0.047379102557897568	-0.047563176602125168	-0.047571800649166107	-0.0019742504227906466
5	1767.3333333333001	-0.063191749155521393	-0.06343802809715271	-0.063449569046497345	-0.0026372149586677551
6	2208.9166666667002	-0.079008482396602631	-0.079316690564155579	-0.079331189393997192	-0.0033008279278874397
7	2650.5	-0.094827994704246521	-0.095197871327400208	-0.095215365290641785	-0.0039648800157010555
8	3092.0833333332998	-0.1106494665145874	-0.11108075827360153	-0.11110127717256546	-0.0046292827464640141
9	3533.6666666667002	-0.12647232413291931	-0.1269647479057312	-0.12698835134506226	-0.0052938521839678288
10	3975.25	-0.14229612052440643	-0.14284943044185638	-0.14287614822387695	-0.0059585589915513992
11	4416.8333333333003	-0.1581205427646637	-0.15873445570468903	-0.1587643176317215	-0.006623346358537674
12	4858.4166666666997	-0.17394524812698364	-0.17461951076984406	-0.17465254664421082	-0.0072881630621850491
13	5300	-0.18977005779743195	-0.19050441682338715	-0.19054064154624939	-0.0079529676586389542
14	167.5	-0.0059562977403402328	-0.0059771602973341942	-0.0059783980250358582	-0.00024412048514932394
15	334	-0.011899811215698719	-0.011943722143769264	-0.011946024373173714	-0.00049094128189608455
16	500.5	-0.017849892377853394	-0.017917215824127197	-0.017920562997460365	-0.00073889846680685878
17	667	-0.023803746327757835	-0.023894604295492172	-0.023899005725979805	-0.00098749739117920399
18	833.5	-0.029760131612420082	-0.029874566942453384	-0.029880022630095482	-0.001236519543454051
19	1000	-0.035718340426683426	-0.035856347531080246	-0.035862870514392853	-0.0014858415815979242
0		-0.035718340426683426	-0.035856347531080246	-0.035862870514392853	-0.0014858415815979242
