Strom in Ampere	Feld in mT	Spannung in V
aus 	-1.0	
0.0	-1.0	0.0
0.6	-6.7	1.3
1.3	-12.2	2.6
1.9	-17.5	3.8
2.6	-24.2	5.3
3.4	-30.9	6.9
4.1	-37.6	8.4
5.1	-46.6	10.5
6.4	-58.3	13.1
7.6	-68.8	15.5
8.7	-78.6	17.8
9.7	-87.6	19.8
10.7	-96.6	21.9
11.4	-102.2	23.2
12.4	-111.5	25.3
13.8	-123.6	28.1
14.6	-131.3	30.0
15.6	-140.3	32.1
16.6	-148.4	34.0
17.4	-155.8	35.7
18.7	-167.2	38.4
19.2	-172.3	39.7
20.1	-180.3	41.7
19.5	-174.7	40.4
18.5	-166.1	38.4
17.2	-155.2	35.9
16.3	-147.4	34.1
15.5	-140.1	32.4
14.1	-128.0	29.6
12.8	-116.3	26.8
11.6	-105.9	24.4
10.4	-94.9	21.8
9.4	-85.9	19.7
8.7	-79.7	18.2
7.7	-70.5	16.1
6.9	-63.8	14.5
6.2	-57.6	13.1
5.4	-50.2	11.3
4.5	-42.4	9.5
3.7	-34.8	7.8
2.8	-26.3	5.8
2.0	-19.3	4.2
1.5	-15.1	3.2
0.8	-8.1	1.6
0.0	-1.0	0
aus 	-1.0 	
