           x [mm]           y [mm]           z [mm]      x [V.s/m^2]      y [V.s/m^2]      z [V.s/m^2]
------------------------------------------------------------------------------------------------------
            234.8              131              3.2      0.002387454    -0.0023090832    -0.0011970485
            235.8              131              3.2     0.0023119352    -0.0022367025    -0.0011621882
            236.8              131              3.2     0.0022398382    -0.0021716801    -0.0011285861
            237.8              131              3.2     0.0021791286    -0.0021281457    -0.0010988209
            238.8              131              3.2     0.0021174776    -0.0020853835    -0.0010705894
            239.8              131              3.2     0.0020568932    -0.0020430072    -0.0010425661
            240.8              131              3.2     0.0019973749    -0.0020010164    -0.0010147513
            241.8              131              3.2      0.001938923    -0.0019594105   -0.00098714465
            242.8              131              3.2     0.0018815377    -0.0019181907   -0.00095974648
            243.8              131              3.2     0.0018252186     -0.001877356   -0.00093255658
            244.8              131              3.2      0.001769966    -0.0018369069   -0.00090557494
            234.8              131              4.2      0.002422475    -0.0023412751    -0.0011969747
            235.8              131              4.2     0.0023468023    -0.0022682475    -0.0011622272
            236.8              131              4.2     0.0022722303    -0.0022000505    -0.0011290096
            237.8              131              4.2       0.00220419    -0.0021491856    -0.0011003868
            238.8              131              4.2     0.0021422533    -0.0021061844    -0.0010720945
            239.8              131              4.2     0.0020813828    -0.0020635682    -0.0010440104
            240.8              131              4.2     0.0020215791    -0.0020213379    -0.0010161347
            241.8              131              4.2     0.0019628415    -0.0019794928   -0.00098846748
            242.8              131              4.2     0.0019051706    -0.0019380334    -0.0009610086
            243.8              131              4.2     0.0018485654    -0.0018969589   -0.00093375758
            244.8              131              4.2     0.0017931485    -0.0018562626   -0.00090669969
            234.8              131              5.2     0.0024568704    -0.0023750607    -0.0011973307
            235.8              131              5.2     0.0023809709    -0.0023007684    -0.0011625123
            236.8              131              5.2     0.0023068397     -0.002235123    -0.0011306854
            237.8              131              5.2     0.0022346221    -0.0021777712    -0.0011019296
            238.8              131              5.2     0.0021668053    -0.0021265077    -0.0010734911
            239.8              131              5.2     0.0021056489     -0.002083652    -0.0010453461
            240.8              131              5.2     0.0020455595     -0.002041182    -0.0010174098
            241.8              131              5.2      0.001986536    -0.0019990972   -0.00098968169
            242.8              131              5.2     0.0019285791    -0.0019573981   -0.00096216192
            243.8              131              5.2     0.0018716884    -0.0019160843   -0.00093485031
            244.8              131              5.2     0.0018161953    -0.0018752352   -0.00090770517
            234.8              131              6.2     0.0024910374    -0.0024082663    -0.0011974507
