           x [mm]           y [mm]           z [mm]      x [V.s/m^2]      y [V.s/m^2]      z [V.s/m^2]
------------------------------------------------------------------------------------------------------
           -34.66              131             89.2   -1.0363612e-05     -0.051766261   -3.7199811e-06
           -33.66              131             89.2   -9.2425053e-06     -0.051763773   -3.4322159e-06
           -32.66              131             89.2   -8.6265709e-06     -0.051761307   -3.2636406e-06
           -31.66              131             89.2   -7.9850251e-06     -0.051758885   -3.1207323e-06
           -30.66              131             89.2   -7.5288458e-06     -0.051756378    -3.074869e-06
           -29.66              131             89.2   -7.0855986e-06     -0.051754236   -3.0380313e-06
           -28.66              131             89.2   -6.6194975e-06     -0.051752858   -2.9077655e-06
           -27.66              131             89.2   -6.1136434e-06      -0.05175155    -2.757763e-06
           -26.66              131             89.2   -5.6219669e-06      -0.05175031   -2.6183325e-06
           -25.66              131             89.2   -5.1444667e-06      -0.05174911   -2.4894716e-06
           -34.66              131             90.2   -1.0171844e-05     -0.051765352    -3.449888e-06
           -33.66              131             90.2   -9.1457096e-06     -0.051762767   -3.1981563e-06
           -32.66              131             90.2   -8.2862016e-06     -0.051760312   -2.9952837e-06
           -31.66              131             90.2   -7.9081801e-06     -0.051757768   -2.9227372e-06
           -30.66              131             90.2   -7.4800605e-06     -0.051755279   -2.8798095e-06
           -29.66              131             90.2   -7.0961278e-06     -0.051753391   -2.8306076e-06
           -28.66              131             90.2   -6.7568217e-06     -0.051751927   -2.7659189e-06
           -27.66              131             90.2   -6.3097941e-06     -0.051750608   -2.6503023e-06
           -26.66              131             90.2   -5.8214173e-06     -0.051749382   -2.5151576e-06
           -25.66              131             90.2   -5.3472158e-06     -0.051748194   -2.3905825e-06
           -34.66              131             91.2   -1.0753244e-05     -0.051764175   -3.4291652e-06
           -33.66              131             91.2   -9.6784979e-06     -0.051761568   -3.1634349e-06
           -32.66              131             91.2   -8.6810251e-06     -0.051759094   -2.9277696e-06
           -31.66              131             91.2   -7.8214853e-06     -0.051756736   -2.7381802e-06
           -30.66              131             91.2   -7.4193222e-06     -0.051754266   -2.6975335e-06
           -29.66              131             91.2   -7.0865049e-06     -0.051752627    -2.636323e-06
           -28.66              131             91.2   -6.7613919e-06     -0.051751178   -2.5714025e-06
           -27.66              131             91.2   -6.4249266e-06     -0.051749788   -2.5100153e-06
           -26.66              131             91.2   -5.8927831e-06     -0.051748492   -2.3744719e-06
           -25.66              131             91.2   -5.2740934e-06       -0.0517473   -2.2030342e-06
